City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,punta cana,18.5818,-68.4043,78.57,83,20,6.91,DO,1731811965
193,perdoes,-21.0908,-45.0914,60.8,97,74,3.56,BR,1731812260
194,gazipasa,36.2694,32.3179,63.68,80,47,10.63,TR,1731812261
195,newman,37.3138,-121.0208,48.06,65,7,1.01,US,1731812263
196,zmiyevka,52.6697,36.3739,37.89,93,100,13.2,RU,1731812264
197,uyuni,-20.4597,-66.825,54.07,39,64,14.43,BO,1731812265
198,vila franca do campo,37.7167,-25.4333,64.89,99,63,21.18,PT,1731812266
199,aasiaat,68.7098,-52.8699,2.3,92,75,5.73,GL,1731812267
200,goundi,9.3627,17.366,70.54,32,100,3.85,TD,1731812268
201,anna regina,7.2644,-58.5077,81.05,81,39,8.72,GY,1731812269
202,quchan,37.106,58.5095,41.14,65,0,0.78,IR,1731812270
203,namdrik,5.5994,168.1028,83.62,73,62,10.11,MH,1731812271
204,mar del plata,-38.0023,-57.5575,60.1,88,100,17.27,AR,1731811996
205,hermanus,-34.4187,19.2345,62.8,88,0,7.31,ZA,1731812273
206,noumea,-22.2763,166.4572,77.23,78,100,17.96,NC,1731812275
207,lanzhou,36.0564,103.7922,41.5,43,100,3.47,CN,1731812276
208,maevatanana,-13.8831,48.5289,75.9,91,6,1.95,MG,1731812277
209,goianapolis,-16.5106,-49.0239,67.28,97,100,8.3,BR,1731812278
210,papao,-17.75,-149.55,80.28,89,100,18.86,PF,1731812279
211,usinsk,65.9939,57.5281,18.95,97,89,8.88,RU,1731812281
212,san patricio,28.017,-97.5169,73.33,71,100,10.69,US,1731812282
213,port mathurin,-19.6833,63.4167,75.49,71,100,22.15,MU,1731812283
214,uige,-7.6087,15.0613,67.33,100,100,1.1,AO,1731812284
215,tolanaro,-25.0319,46.9987,77.07,73,20,18.41,MG,1731812286
216,troy,42.6056,-83.1499,48.49,74,100,6.91,US,1731812141
217,tabora,-5.0167,32.8,68.14,54,46,4.25,TZ,1731812289
218,orhaneli,39.9033,28.9906,49.73,90,100,0.98,TR,1731812117
219,okakarara,-20.5833,17.4333,73.74,36,39,2.3,NA,1731812291
220,papatowai,-46.5619,169.4708,54.48,54,56,5.95,NZ,1731812292
221,miguel auza,24.2933,-103.4503,62.19,46,81,9.75,MX,1731812294
222,axim,4.8699,-2.2405,77.86,86,94,5.73,GH,1731812295
223,onega,63.9061,38.1404,36.77,72,100,18.39,RU,1731812297
224,atafu village,-8.5421,-172.5159,82.31,71,55,1.95,TK,1731812298
225,alo,6.5486,4.2686,76.44,91,48,0.89,NG,1731812300
226,brookings,44.3114,-96.7984,46.18,68,0,9.22,US,1731812301
227,alofi,-19.0595,-169.9187,78.69,73,75,14.97,NU,1731812302
228,deland,29.0283,-81.3031,66.94,91,0,5.1,US,1731812303
229,madimba,-10.4,40.3333,76.46,87,23,2.8,TZ,1731812304
230,crixas,-14.5489,-49.9692,71.69,88,100,4.29,BR,1731812305
231,rabo de peixe,37.8,-25.5833,63.99,99,75,20.71,PT,1731812307
232,quzhou,28.9594,118.8686,63.91,86,100,11.12,CN,1731812308
233,pisco,-13.7,-76.2167,66.25,88,0,13.8,PE,1731812309
234,kapiri mposhi,-13.9652,28.6809,64.63,77,1,4.27,ZM,1731812310
235,lihue,21.9789,-159.3672,78.39,77,75,21.85,US,1731812311
236,homer,59.6425,-151.5483,28.29,55,0,9.22,US,1731812312
237,anaconda,46.1285,-112.9423,21.38,85,95,7.81,US,1731812164
238,mattoon,39.4831,-88.3728,48.15,49,0,12.66,US,1731812315
239,yinchuan,38.4681,106.2731,39.15,37,37,4.27,CN,1731812316
240,terek,43.4833,44.1361,39.27,81,100,1.21,RU,1731812317
241,brokopondo,4.75,-55.1667,79.7,80,50,6.53,SR,1731812318
242,bel ombre,-4.6167,55.4167,80.44,83,40,2.3,SC,1731812319
243,nogliki,51.8333,143.1667,26.49,92,100,12.55,RU,1731812320
244,lakheri,25.6667,76.1667,72.86,33,0,1.66,IN,1731812322
245,tavda,58.0425,65.2726,30.2,83,96,12.88,RU,1731812323
246,eldorado at santa fe,35.5264,-105.9347,42.46,50,0,1.01,US,1731812324
247,howard springs,-12.497,131.047,92.98,70,84,9.01,AU,1731812325
248,athens,37.9795,23.7162,54.66,78,40,11.5,GR,1731812051
249,kerema,-7.9631,145.7785,85.84,68,51,9.04,PG,1731812328
250,atasu,48.6814,71.6433,8.73,94,24,3.09,KZ,1731812329
251,cromer,52.9312,1.2989,43.68,72,71,22.5,GB,1731812330
252,freetown,8.484,-13.2299,78.44,83,99,4.65,SL,1731812331
253,andahuaylas,-13.6556,-73.3872,48.78,87,100,2.57,PE,1731812333
254,yen bai,21.7,104.8667,82.9,61,1,2.33,VN,1731812334
255,la'ie,21.6477,-157.9253,77.11,76,4,15.01,US,1731812335
256,port alfred,-33.5906,26.891,61.54,84,1,4.61,ZA,1731812336
257,zvezdnyy,57.7325,56.3147,30.79,89,98,17.05,RU,1731812337
258,kichmengskiy gorodok,59.9816,45.7854,41.0,87,100,16.8,RU,1731812340
259,cill airne,52.05,-9.5167,44.28,90,100,4.7,IE,1731812341
260,kirakira,-10.4544,161.9205,85.98,68,89,12.91,SB,1731812342
261,porbandar,21.6422,69.6093,78.17,40,0,7.54,IN,1731812344
262,east london,-33.0153,27.9116,62.71,85,0,4.63,ZA,1731812346
263,mongo,12.1844,18.693,72.03,24,100,4.47,TD,1731812347
264,tahara,34.6667,137.2667,70.2,65,0,9.62,JP,1731812348
265,nurabad,34.0734,47.9725,40.19,54,0,2.75,IR,1731812349
266,kodiak,57.79,-152.4072,27.91,50,40,26.46,US,1731812350
267,touros,-5.1989,-35.4608,77.56,78,7,12.41,BR,1731812351
268,muisne,0.6,-80.0333,75.33,80,99,6.46,EC,1731812353
269,sipalay,9.75,122.5,84.83,72,100,4.79,PH,1731812354
270,mount isa,-20.7333,139.5,100.17,30,66,14.97,AU,1731812355
271,hammerfest,70.6634,23.6821,37.85,87,75,23.02,NO,1731812356
272,hamilton,39.1834,-84.5333,45.45,89,0,3.44,US,1731812175
273,lompoc,34.6391,-120.4579,51.69,68,0,11.5,US,1731812216
274,port saint john's,-31.6229,29.5448,66.88,87,72,7.38,ZA,1731812359
275,petropavlovsk-kamchatsky,53.0452,158.6483,18.19,58,75,2.24,RU,1731812361
276,cimislia,46.52,28.7842,34.7,80,0,8.21,MD,1731812363
277,arkhangel'sk,64.5401,40.5433,37.51,100,100,20.13,RU,1731812132
278,nagqu,31.5,92.0,35.71,9,64,24.11,CN,1731812365
279,galesong,-5.3166,119.3661,85.8,66,71,5.23,ID,1731812366
280,umm kaddadah,13.6017,26.6876,71.35,30,3,17.69,SD,1731812368
281,antsiranana,-12.2787,49.2917,76.64,79,39,14.7,MG,1731812369
282,sorong,-0.8833,131.25,82.76,78,4,5.66,ID,1731812102
283,sinop,41.7711,34.8709,38.16,90,4,7.05,TR,1731812372
284,arroyo,41.6096,-4.7969,42.84,100,1,4.61,ES,1731812374
285,saint-pierre,-21.3393,55.4781,74.88,60,0,4.61,RE,1731812375
286,princeville,45.7668,-61.2985,44.55,96,100,10.36,CA,1731812376
287,wamba,8.9333,8.6,69.06,23,6,4.07,NG,1731812377
288,port blair,11.6667,92.75,86.04,79,40,10.36,IN,1731812378
289,laojunmiao,39.8333,97.7333,34.47,47,45,5.91,CN,1731812127
290,callao,-12.0667,-77.15,68.72,77,20,11.5,PE,1731812252
291,choma,-16.8065,26.9531,64.33,86,75,4.72,ZM,1731812382
292,inhambane,-23.865,35.3833,71.35,83,0,5.19,MZ,1731812383
293,arraial do cabo,-22.9661,-42.0278,71.89,87,94,12.5,BR,1731812384
294,balabac,7.9868,117.0645,85.5,68,100,8.57,PH,1731812385
295,buta,2.7858,24.73,68.49,99,97,2.33,CD,1731812386
296,pocone,-16.2567,-56.6228,78.8,74,65,8.66,BR,1731812388
297,maua,-23.6678,-46.4614,69.01,89,62,2.06,BR,1731812176
298,wotho,10.1657,166.0102,83.25,75,28,11.74,MH,1731812390
299,greenwood,34.1668,-82.1165,48.36,93,0,0.0,US,1731812391
300,yemetsk,63.4721,41.7941,37.02,83,100,16.69,RU,1731812392
301,port hedland,-20.3167,118.5667,95.05,38,0,13.8,AU,1731812394
302,oslo,59.9127,10.7461,37.26,72,44,7.31,NO,1731812357
303,sisimiut,66.9395,-53.6735,15.98,76,16,10.2,GL,1731812397
304,kovernino,57.1253,43.8142,37.87,95,100,12.41,RU,1731812398
305,sao joao da barra,-21.6403,-41.0511,74.66,87,100,12.82,BR,1731812181
306,taraz,42.9,71.3667,34.21,69,8,4.47,KZ,1731812400
307,mount gambier,-37.8333,140.7667,63.81,39,7,19.1,AU,1731812402
308,caleta de carquin,-11.0925,-77.6267,66.16,84,99,7.07,PE,1731812403
309,newport,51.5877,-2.9984,47.53,89,100,7.18,GB,1731812404
310,cockburn town,21.4612,-71.1419,78.76,78,75,8.05,TC,1731812406
311,savanna-la-mar,18.219,-78.1332,77.94,96,100,4.14,JM,1731812407
312,borgarnes,64.5383,-21.9206,25.5,62,100,13.51,IS,1731812408
313,cadale,2.7603,46.3222,79.27,82,80,9.37,SO,1731812409
314,pahrump,36.2083,-115.9839,50.5,28,0,7.0,US,1731812411
315,kiruna,67.8557,20.2251,27.52,93,100,12.66,SE,1731812412
316,plast,54.3691,60.8136,31.28,88,63,14.74,RU,1731812413
317,korla,41.7597,86.1469,38.12,59,97,3.8,CN,1731812414
318,hailar,49.2,119.7,13.93,48,3,9.95,CN,1731812416
319,fortuna,40.5982,-124.1573,50.94,91,100,0.0,US,1731812417
320,kananga,-5.8958,22.4178,68.0,98,100,2.04,CD,1731812418
321,cabedelo,-6.9811,-34.8339,75.87,79,6,10.02,BR,1731812419
322,baturaja,-4.1333,104.1667,87.64,67,71,1.54,ID,1731812421
323,greenville,35.6127,-77.3663,46.15,96,0,0.0,US,1731812422
324,lempaala,61.3167,23.75,39.58,75,100,16.11,FI,1731812423
325,amga,60.8953,131.9608,-6.48,94,97,2.08,RU,1731812424
326,puerto aysen,-45.4,-72.7,39.4,98,70,3.8,CL,1731812426
327,saint-philippe,-21.3585,55.7679,75.11,80,6,11.14,RE,1731812427
328,cassilandia,-19.1133,-51.7342,69.76,98,48,1.74,BR,1731812428
329,watsa,3.0372,29.5355,64.04,99,100,2.46,CD,1731812429
330,salahonda,2.1019,-78.7217,78.21,73,58,8.7,CO,1731812431
331,san julian,21.0167,-102.1667,63.77,56,78,6.73,MX,1731812432
332,shevchenko,48.5,35.0,34.9,75,58,7.94,UA,1731812433
333,kailua-kona,19.6406,-155.9956,80.55,85,19,1.99,US,1731812434
334,happy valley-goose bay,53.3168,-60.3315,37.71,100,100,12.66,CA,1731812435
335,trondheim,63.4305,10.3951,37.45,91,100,3.0,NO,1731812437
336,sainte-rose,16.3324,-61.6979,77.04,94,0,3.44,GP,1731812438
337,kirawsk,53.2686,29.4736,39.58,84,59,13.76,BY,1731812439
338,padang,-0.9492,100.3543,82.45,85,94,4.81,ID,1731812400
339,dudinka,69.4058,86.1778,11.25,94,100,16.37,RU,1731812441
340,guanare,9.0418,-69.7421,72.34,94,38,4.34,VE,1731812443
341,sauce,-34.6469,-56.0628,76.62,65,34,6.26,UY,1731812444
342,kavieng,-2.5744,150.7967,85.82,68,21,11.65,PG,1731812445
343,tralee,52.2704,-9.7026,47.59,80,100,8.43,IE,1731812446
344,les cayes,18.2,-73.75,76.6,84,98,7.02,HT,1731812448
345,aykhal,66.0,111.5,-7.17,92,100,13.89,RU,1731812268
346,fukushima,37.75,140.4678,71.15,62,7,6.33,JP,1731812420
347,zaozersk,69.4005,32.4476,33.78,81,100,15.05,RU,1731812451
348,labrador city,52.9463,-66.9114,31.91,93,100,13.0,CA,1731812414
349,fale old settlement,-9.3852,-171.2468,82.04,72,10,3.4,TK,1731812453
350,tarfaya,27.9358,-12.9218,68.16,83,19,11.68,MA,1731812454
351,ndele,8.4109,20.6473,72.14,44,100,1.88,CF,1731812455
352,nanning,22.8167,108.3167,81.05,47,4,9.78,CN,1731812456
353,yorkton,51.2167,-102.4677,30.04,100,100,10.36,CA,1731812410
354,ghat,24.9647,10.1728,61.56,28,11,2.46,LY,1731812459
355,vuktyl,63.8567,57.3094,26.56,96,98,8.84,RU,1731812460
356,remire-montjoly,4.9167,-52.2667,77.04,94,75,2.3,GF,1731812461
357,arar,30.9753,41.0381,53.62,66,0,0.0,SA,1731812462
358,bolobo,-2.1667,16.2333,70.39,94,58,1.72,CD,1731812463
359,vernon,50.2581,-119.2691,35.76,92,100,0.0,CA,1731812464
360,san antonio de pale,-1.4014,5.6325,78.15,86,27,9.15,GQ,1731812465
361,oranjemund,-28.55,16.4333,56.68,96,47,8.88,NA,1731812467
362,cangzhou,38.3167,116.8667,48.24,20,0,12.28,CN,1731812469
363,reggane,26.7158,0.1714,72.32,17,7,6.2,DZ,1731812470
364,price,39.5994,-110.8107,31.23,68,0,10.98,US,1731812471
365,hunstanton,52.95,0.5,45.82,87,94,4.0,GB,1731812472
366,portland,45.5234,-122.6762,45.61,95,100,8.01,US,1731812385
